Month,Panamax_BPI_ML_Forecast,Capesize_BCI_ML_Forecast
2025-04-01,1199.2209055548897,2332.7219635832166
2025-05-01,1221.6412370965443,1896.6986751485085
2025-06-01,1256.6956679535247,2007.1500424331027
2025-07-01,1298.431672529056,1817.644204587501
2025-08-01,1306.9431774183233,1613.453484426301
2025-09-01,1300.6152108306335,1657.2161761800594
2025-10-01,1285.3558484076418,1705.6810752125257
2025-11-01,1221.5276711087802,1720.0453238096413
2025-12-01,1165.5563134028425,1737.2880572588858
2026-01-01,1144.924229881514,1774.6257144808505
2026-02-01,1095.333286281718,1787.5773561609642
2026-03-01,1076.4048460431495,1786.7909880281138
