Period,Period Label,Economy,Economy Label,CommercialMarket,CommercialMarket Label,Average_DWT,Maximum_DWT
2018S01,S1   2018,0,World,0,All ships,24074.0,441561.0
2018S01,S1   2018,0,World,2,Liquid bulk carriers,26871.0,441561.0
2018S01,S1   2018,0,World,7,Liquefied petroleum gas carriers,11915.0,64220.0
2018S01,S1   2018,0,World,8,Liquefied natural gas carriers,72117.0,155159.0
2018S01,S1   2018,0,World,5,Dry bulk carriers,57574.0,404389.0
2018S01,S1   2018,0,World,4,Dry breakbulk carriers,7413.0,138743.0
2018S01,S1   2018,0,World,6,Roll-on/ roll-off ships,10192.0,55828.0
2018S01,S1   2018,0,World,3,Container ships,,
2018S01,S1   2018,0,World,1,Passenger ships,,
2018S01,S1   2018,36,Australia,0,All ships,78572.0,299688.0
2018S01,S1   2018,36,Australia,2,Liquid bulk carriers,40187.0,166447.0
2018S01,S1   2018,36,Australia,7,Liquefied petroleum gas carriers,14044.0,55250.0
2018S01,S1   2018,36,Australia,8,Liquefied natural gas carriers,84312.0,121963.0
2018S01,S1   2018,36,Australia,5,Dry bulk carriers,112598.0,299688.0
2018S01,S1   2018,36,Australia,4,Dry breakbulk carriers,21345.0,80500.0
2018S01,S1   2018,36,Australia,6,Roll-on/ roll-off ships,15797.0,43878.0
2018S01,S1   2018,36,Australia,3,Container ships,,
2018S01,S1   2018,36,Australia,1,Passenger ships,,
2018S01,S1   2018,124,Canada,0,All ships,35357.0,319547.0
2018S01,S1   2018,124,Canada,2,Liquid bulk carriers,39776.0,319547.0
2018S01,S1   2018,124,Canada,5,Dry bulk carriers,49364.0,209935.0
2018S01,S1   2018,124,Canada,4,Dry breakbulk carriers,12753.0,61860.0
2018S01,S1   2018,124,Canada,6,Roll-on/ roll-off ships,7900.0,55828.0
2018S01,S1   2018,124,Canada,3,Container ships,,
2018S01,S1   2018,124,Canada,1,Passenger ships,,
2018S01,S1   2018,156,China,0,All ships,43890.0,403811.0
2018S01,S1   2018,156,China,2,Liquid bulk carriers,33892.0,323527.0
2018S01,S1   2018,156,China,7,Liquefied petroleum gas carriers,11170.0,64220.0
2018S01,S1   2018,156,China,8,Liquefied natural gas carriers,83873.0,154940.0
