Parameter,Value,Unit,Vessel_Type,Data_Class,Source,Source_URL,Use_Status,Reason
Route,"Gladstone, Australia -> Dhamra, India",route,Capesize,EXTERNAL REFERENCE,Baltic Exchange Circular 04/26,https://www.balticexchange.com/en/data-services/Circulars/market-announcements-/category-a/2026/-circular-04-26--new-index---baltic-indian-ocean-indices.html,SUPPORTED,Baltic publishes the C18 Gladstone-Dhamra voyage assessment.
Route,"Gladstone, Australia -> Dhamra, India",route,Panamax,EXTERNAL REFERENCE,Baltic Exchange Circular 04/26,https://www.balticexchange.com/en/data-services/Circulars/market-announcements-/category-a/2026/-circular-04-26--new-index---baltic-indian-ocean-indices.html,SUPPORTED,Baltic publishes the P9 Gladstone-Dhamra voyage assessment.
Cargo,150000,mt,Capesize,EXTERNAL REFERENCE,Baltic Exchange C18 specification,https://www.balticexchange.com/en/data-services/Circulars/market-announcements-/category-a/2026/-circular-04-26--new-index---baltic-indian-ocean-indices.html,SUPPORTED,"Baltic C18 is assessed on 150,000 mt coal, with 10% more or less at owners' option."
Cargo,80000,mt,Panamax,EXTERNAL REFERENCE,Baltic Exchange P9 specification,https://www.balticexchange.com/en/data-services/Circulars/market-announcements-/category-a/2026/-circular-04-26--new-index---baltic-indian-ocean-indices.html,SUPPORTED,"Baltic P9 is assessed on 80,000 mt coal, with 10% more or less at owners' option."
Vessel_DWT,182000,mt DWT,Capesize,EXTERNAL REFERENCE,Baltic Exchange BCI182 specification,https://www.balticexchange.com/en/data-services/Circulars/market-announcements-/category-a/2024/circular--21-24-consultation--summary-bci-vessel-and-c5tc-weight.html,SUPPORTED,Baltic benchmark vessel specification.
Vessel_DWT,82500,mt DWT,Panamax,EXTERNAL REFERENCE,Baltic Exchange Panamax vessel specification,https://www.balticexchange.com/en/data-services/routes.html,SUPPORTED,Baltic Panamax benchmark vessel specification.
LOA,292,m,Capesize,EXTERNAL REFERENCE,Baltic Exchange BCI182 specification,https://www.balticexchange.com/en/data-services/Circulars/market-announcements-/category-a/2024/circular--21-24-consultation--summary-bci-vessel-and-c5tc-weight.html,SUPPORTED,Published benchmark vessel LOA.
Beam,45,m,Capesize,EXTERNAL REFERENCE,Baltic Exchange BCI182 specification,https://www.balticexchange.com/en/data-services/Circulars/market-announcements-/category-a/2024/circular--21-24-consultation--summary-bci-vessel-and-c5tc-weight.html,SUPPORTED,Published benchmark vessel beam.
LOA,229,m,Panamax,EXTERNAL REFERENCE,Baltic Exchange Panamax route specification,https://www.balticexchange.com/en/data-services/routes.html,SUPPORTED,Published Panamax benchmark vessel LOA.
Beam,32.25,m,Panamax,EXTERNAL REFERENCE,Baltic Exchange Panamax route specification,https://www.balticexchange.com/en/data-services/routes.html,SUPPORTED,Published Panamax benchmark vessel beam.
Laden_Speed,14,knots,Capesize,EXTERNAL REFERENCE,Baltic Exchange BCI182 specification,https://www.balticexchange.com/en/data-services/Circulars/market-announcements-/category-a/2024/circular--21-24-consultation--summary-bci-vessel-and-c5tc-weight.html,SUPPORTED,Published BCI182 speed specification.
