Month,Vessel_Type,Status,Reason,Missing_Inputs,BPI_Forecast,BCI_Forecast,Cargo_tonnes,Laden_Distance_nm,Ballast_Distance_nm,Laden_Speed_knots,Ballast_Speed_knots,Laden_Fuel_tpd,Ballast_Fuel_tpd,Laden_Days,Ballast_Days,Port_Days,Total_Voyage_Days,Laden_Fuel_tonnes,Ballast_Fuel_tonnes,Total_Fuel_tonnes,Bunker_Price_USD_per_mt,Bunker_Cost_USD,Freight_Rate_USD_per_mt,Freight_Revenue_USD,Commission_Percent,Commission_USD,Port_Cost_USD,Other_Voyage_Cost_USD,Net_Voyage_Earnings_USD,TCE_USD_day
2025-04-01,Capesize,NOT FEASIBLE,Benchmark vessel fails Dhamra port constraint screen.,,,2332.7219635832166,150000,5827.27,5827.27,14.0,15,52,44,,,1.5,,,,,530.9090909090909,,,,5,,,,,
2025-04-01,Panamax,NOT CALCULABLE,Required scenario input unavailable.,"freight_rate_usd_per_mt, port_cost_usd, other_voyage_cost_usd",1199.2209055548897,,80000,5827.27,5827.27,13.5,14,33,31,,,1.5,,,,,530.9090909090909,,,,5,,,,,
2025-05-01,Capesize,NOT FEASIBLE,Benchmark vessel fails Dhamra port constraint screen.,,,1896.6986751485083,150000,5827.27,5827.27,14.0,15,52,44,,,1.5,,,,,529.4318181818181,,,,5,,,,,
2025-05-01,Panamax,NOT CALCULABLE,Required scenario input unavailable.,"freight_rate_usd_per_mt, port_cost_usd, other_voyage_cost_usd",1221.6412370965445,,80000,5827.27,5827.27,13.5,14,33,31,,,1.5,,,,,529.4318181818181,,,,5,,,,,
2025-06-01,Capesize,NOT FEASIBLE,Benchmark vessel fails Dhamra port constraint screen.,,,2007.1500424331027,150000,5827.27,5827.27,14.0,15,52,44,,,1.5,,,,,554.6764705882352,,,,5,,,,,
2025-06-01,Panamax,NOT CALCULABLE,Required scenario input unavailable.,"freight_rate_usd_per_mt, port_cost_usd, other_voyage_cost_usd",1256.695667953525,,80000,5827.27,5827.27,13.5,14,33,31,,,1.5,,,,,554.6764705882352,,,,5,,,,,
2025-07-01,Capesize,NOT FEASIBLE,Benchmark vessel fails Dhamra port constraint screen.,,,1817.644204587501,150000,5827.27,5827.27,14.0,15,52,44,,,1.5,,,,,552.8260869565217,,,,5,,,,,
2025-07-01,Panamax,NOT CALCULABLE,Required scenario input unavailable.,"freight_rate_usd_per_mt, port_cost_usd, other_voyage_cost_usd",1298.431672529056,,80000,5827.27,5827.27,13.5,14,33,31,,,1.5,,,,,552.8260869565217,,,,5,,,,,
2025-08-01,Capesize,NOT FEASIBLE,Benchmark vessel fails Dhamra port constraint screen.,,,1613.453484426301,150000,5827.27,5827.27,14.0,15,52,44,,,1.5,,,,,534.4047619047619,,,,5,,,,,
2025-08-01,Panamax,NOT CALCULABLE,Required scenario input unavailable.,"freight_rate_usd_per_mt, port_cost_usd, other_voyage_cost_usd",1306.943177418323,,80000,5827.27,5827.27,13.5,14,33,31,,,1.5,,,,,534.4047619047619,,,,5,,,,,
2025-09-01,Capesize,NOT FEASIBLE,Benchmark vessel fails Dhamra port constraint screen.,,,1657.2161761800594,150000,5827.27,5827.27,14.0,15,52,44,,,1.5,,,,,523.1190476190476,,,,5,,,,,
2025-09-01,Panamax,NOT CALCULABLE,Required scenario input unavailable.,"freight_rate_usd_per_mt, port_cost_usd, other_voyage_cost_usd",1300.6152108306335,,80000,5827.27,5827.27,13.5,14,33,31,,,1.5,,,,,523.1190476190476,,,,5,,,,,
2025-10-01,Capesize,NOT FEASIBLE,Benchmark vessel fails Dhamra port constraint screen.,,,1705.6810752125257,150000,5827.27,5827.27,14.0,15,52,44,,,1.5,,,,,,,,,5,,,,,
2025-10-01,Panamax,NOT CALCULABLE,Required scenario input unavailable.,"bunker_price_usd_per_mt, freight_rate_usd_per_mt, port_cost_usd, other_voyage_cost_usd",1285.3558484076418,,80000,5827.27,5827.27,13.5,14,33,31,,,1.5,,,,,,,,,5,,,,,
2025-11-01,Capesize,NOT FEASIBLE,Benchmark vessel fails Dhamra port constraint screen.,,,1720.045323809641,150000,5827.27,5827.27,14.0,15,52,44,,,1.5,,,,,486.27777777777777,,,,5,,,,,
2025-11-01,Panamax,NOT CALCULABLE,Required scenario input unavailable.,"freight_rate_usd_per_mt, port_cost_usd, other_voyage_cost_usd",1221.5276711087802,,80000,5827.27,5827.27,13.5,14,33,31,,,1.5,,,,,486.27777777777777,,,,5,,,,,
2025-12-01,Capesize,NOT FEASIBLE,Benchmark vessel fails Dhamra port constraint screen.,,,1737.2880572588858,150000,5827.27,5827.27,14.0,15,52,44,,,1.5,,,,,464.2173913043478,,,,5,,,,,
2025-12-01,Panamax,NOT CALCULABLE,Required scenario input unavailable.,"freight_rate_usd_per_mt, port_cost_usd, other_voyage_cost_usd",1165.5563134028423,,80000,5827.27,5827.27,13.5,14,33,31,,,1.5,,,,,464.2173913043478,,,,5,,,,,
2026-01-01,Capesize,NOT FEASIBLE,Benchmark vessel fails Dhamra port constraint screen.,,,1774.6257144808503,150000,5827.27,5827.27,14.0,15,52,44,,,1.5,,,,,475.8181818181818,,,,5,,,,,
2026-01-01,Panamax,NOT CALCULABLE,Required scenario input unavailable.,"freight_rate_usd_per_mt, port_cost_usd, other_voyage_cost_usd",1144.924229881514,,80000,5827.27,5827.27,13.5,14,33,31,,,1.5,,,,,475.8181818181818,,,,5,,,,,
