Month,Route,C18_USD_per_mt,C18_Status,P9_USD_per_mt,P9_Status,C18_Source_Class,P9_Source_Class,Port_Cost_USD,Port_Cost_Status,Other_Voyage_Cost_USD,Other_Cost_Status
2025-04-01,Gladstone -> Dhamra,,BEFORE LIVE PUBLICATION - NO RATE,,BEFORE LIVE PUBLICATION - NO RATE,REQUIRES VERIFIED RATE DATA,REQUIRES VERIFIED RATE DATA,,REQUIRES TARIFF CALCULATION,,NOT SOURCED
2025-05-01,Gladstone -> Dhamra,,BEFORE LIVE PUBLICATION - NO RATE,,BEFORE LIVE PUBLICATION - NO RATE,REQUIRES VERIFIED RATE DATA,REQUIRES VERIFIED RATE DATA,,REQUIRES TARIFF CALCULATION,,NOT SOURCED
2025-06-01,Gladstone -> Dhamra,,BEFORE LIVE PUBLICATION - NO RATE,,BEFORE LIVE PUBLICATION - NO RATE,REQUIRES VERIFIED RATE DATA,REQUIRES VERIFIED RATE DATA,,REQUIRES TARIFF CALCULATION,,NOT SOURCED
2025-07-01,Gladstone -> Dhamra,,BEFORE LIVE PUBLICATION - NO RATE,,BEFORE LIVE PUBLICATION - NO RATE,REQUIRES VERIFIED RATE DATA,REQUIRES VERIFIED RATE DATA,,REQUIRES TARIFF CALCULATION,,NOT SOURCED
2025-08-01,Gladstone -> Dhamra,,BEFORE LIVE PUBLICATION - NO RATE,,BEFORE LIVE PUBLICATION - NO RATE,REQUIRES VERIFIED RATE DATA,REQUIRES VERIFIED RATE DATA,,REQUIRES TARIFF CALCULATION,,NOT SOURCED
2025-09-01,Gladstone -> Dhamra,,BEFORE LIVE PUBLICATION - NO RATE,,BEFORE LIVE PUBLICATION - NO RATE,REQUIRES VERIFIED RATE DATA,REQUIRES VERIFIED RATE DATA,,REQUIRES TARIFF CALCULATION,,NOT SOURCED
2025-10-01,Gladstone -> Dhamra,,BEFORE LIVE PUBLICATION - NO RATE,,BEFORE LIVE PUBLICATION - NO RATE,REQUIRES VERIFIED RATE DATA,REQUIRES VERIFIED RATE DATA,,REQUIRES TARIFF CALCULATION,,NOT SOURCED
2025-11-01,Gladstone -> Dhamra,,BEFORE LIVE PUBLICATION - NO RATE,,BEFORE LIVE PUBLICATION - NO RATE,REQUIRES VERIFIED RATE DATA,REQUIRES VERIFIED RATE DATA,,REQUIRES TARIFF CALCULATION,,NOT SOURCED
2025-12-01,Gladstone -> Dhamra,,BEFORE LIVE PUBLICATION - NO RATE,,BEFORE LIVE PUBLICATION - NO RATE,REQUIRES VERIFIED RATE DATA,REQUIRES VERIFIED RATE DATA,,REQUIRES TARIFF CALCULATION,,NOT SOURCED
2026-01-01,Gladstone -> Dhamra,,BEFORE LIVE PUBLICATION - NO RATE,,BEFORE LIVE PUBLICATION - NO RATE,REQUIRES VERIFIED RATE DATA,REQUIRES VERIFIED RATE DATA,,REQUIRES TARIFF CALCULATION,,NOT SOURCED
2026-02-01,Gladstone -> Dhamra,,PUBLISHED PERIOD - RATE INPUT REQUIRED,,PUBLISHED PERIOD - RATE INPUT REQUIRED,REQUIRES VERIFIED RATE DATA,REQUIRES VERIFIED RATE DATA,,REQUIRES TARIFF CALCULATION,,NOT SOURCED
2026-03-01,Gladstone -> Dhamra,,PUBLISHED PERIOD - RATE INPUT REQUIRED,,PUBLISHED PERIOD - RATE INPUT REQUIRED,REQUIRES VERIFIED RATE DATA,REQUIRES VERIFIED RATE DATA,,REQUIRES TARIFF CALCULATION,,NOT SOURCED
