Month,C18_Available,P9_Available,VLSFO_Available,C18_Published_By_Date,P9_Published_By_Date
2025-04-01,False,False,True,False,False
2025-05-01,False,False,True,False,False
2025-06-01,False,False,True,False,False
2025-07-01,False,False,True,False,False
2025-08-01,False,False,True,False,False
2025-09-01,False,False,True,False,False
2025-10-01,False,False,False,False,False
2025-11-01,False,False,True,False,False
2025-12-01,False,False,True,False,False
2026-01-01,False,False,True,False,False
2026-02-01,False,False,True,True,True
2026-03-01,False,False,True,True,True
