Month,Vessel_Type,Cargo_tonnes,VLSFO_USD_per_tonne,Bunker_Cost_USD,Commission_Percent,BreakEven_Freight_USD_per_mt
2025-04-01,Panamax,80000.0,530.9090909090909,600539.5545214046,5.0,7.901836243702691
2025-05-01,Panamax,80000.0,529.4318181818181,598868.5326445256,5.0,7.8798491137437585
2025-06-01,Panamax,80000.0,554.6764705882352,627424.1037767469,5.0,8.255580312851933
2025-07-01,Panamax,80000.0,552.8260869565217,625331.0362800496,5.0,8.228039951053285
2025-08-01,Panamax,80000.0,534.4047619047619,604493.6942007592,5.0,7.9538643973784104
2025-09-01,Panamax,80000.0,523.1190476190476,591727.821576515,5.0,7.785892389164671
2025-10-01,Panamax,80000.0,,,5.0,
2025-11-01,Panamax,80000.0,486.27777777777777,550054.6987060921,5.0,7.237561825080159
2025-12-01,Panamax,80000.0,464.2173913043478,525101.0203981195,5.0,6.909223952606835
2026-01-01,Panamax,80000.0,475.8181818181818,538223.2925282589,5.0,7.081885428003406
2026-02-01,Panamax,80000.0,518.375,586361.576596809,5.0,7.715283902589592
2026-03-01,Panamax,80000.0,911.25,1030763.4177455358,5.0,13.562676549283367
