Start_Month,End_Month,Contract_Duration_Months,Duration_Class,Average_BPI_Forecast,Average_BPI_MoM_Change_pct,Average_Strategy_Score,Minimum_Strategy_Score,Favorable_Months,Caution_Months,High_Bunker_Months,Bunker_Data_Unavailable_Months,Average_BreakEven_USD_per_mt,Maximum_BreakEven_USD_per_mt,Observed_Bunker_Cost_USD,Recommendation,Confidence,Explanation,Commercial_Rate_Available,Final_Profit_Available,Strategy_Type
2025-04-01,2025-04-01,1,SHORT-TERM,1199.2209055548897,,50.0,50.0,0,0,0,0,7.901836243702691,7.901836243702691,600539.5545214046,MONITOR,LOW,BPI trend unavailable; bunker-only break-even available.,False,False,DECISION SUPPORT
2025-04-01,2025-06-01,3,SHORT-TERM / NEAR-TERM,1225.8526035349862,2.3695142855159834,43.333333333333336,30.0,0,1,1,0,8.01242189009946,8.255580312851933,1826832.1909426772,WAIT / AVOID EARLY COMMITMENT,MEDIUM,forecast BPI trends upward; 1 high-bunker-risk month(s); bunker-only break-even available.,False,False,DECISION SUPPORT
2025-04-01,2025-09-01,6,MEDIUM-TERM,1263.9246452304953,1.6462921347170512,36.666666666666664,10.0,0,2,3,0,8.000843734649125,8.255580312851933,3648384.7430000007,WAIT / AVOID EARLY COMMITMENT,MEDIUM,forecast BPI trends upward; 3 high-bunker-risk month(s); bunker-only break-even available.,False,False,DECISION SUPPORT
2025-05-01,2025-05-01,1,SHORT-TERM,1221.6412370965445,1.8695747745725688,50.0,50.0,0,0,0,0,7.8798491137437585,7.8798491137437585,598868.5326445256,MONITOR,LOW,forecast BPI trends upward; bunker-only break-even available.,False,False,DECISION SUPPORT
2025-05-01,2025-07-01,3,SHORT-TERM / NEAR-TERM,1258.9228591930419,2.6867064666424785,30.0,10.0,0,1,2,0,8.121156459216325,8.255580312851933,1851623.672701322,WAIT / AVOID EARLY COMMITMENT,MEDIUM,forecast BPI trends upward; 2 high-bunker-risk month(s); bunker-only break-even available.,False,False,DECISION SUPPORT
2025-05-01,2025-10-01,6,MEDIUM-TERM,1278.2804690392873,1.1763697980098204,33.333333333333336,10.0,0,3,3,1,8.020645232838412,8.255580312851933,3047845.1884785965,DATA-CONSTRAINED,LOW,forecast BPI trends upward; 3 high-bunker-risk month(s); 1 month(s) with unavailable bunker data; bunker-only break-even available.,False,False,DECISION SUPPORT
2025-06-01,2025-06-01,1,SHORT-TERM,1256.695667953525,2.869453796459398,30.0,30.0,0,1,1,0,8.255580312851933,8.255580312851933,627424.1037767469,WAIT / AVOID EARLY COMMITMENT,MEDIUM,forecast BPI trends upward; 1 high-bunker-risk month(s); bunker-only break-even available.,False,False,DECISION SUPPORT
2025-06-01,2025-08-01,3,SHORT-TERM / NEAR-TERM,1287.3568393003013,2.2820221987186327,23.333333333333332,10.0,0,2,3,0,8.145828220427875,8.255580312851933,1857248.8342575557,WAIT / AVOID EARLY COMMITMENT,MEDIUM,forecast BPI trends upward; 3 high-bunker-risk month(s); bunker-only break-even available.,False,False,DECISION SUPPORT
2025-06-01,2025-11-01,6,MEDIUM-TERM,1278.2615413746598,0.03714097260934516,40.0,10.0,1,3,3,1,7.8921877751056915,8.255580312851933,2999031.3545401627,DATA-CONSTRAINED,LOW,forecast BPI trends upward; 3 high-bunker-risk month(s); 1 month(s) with unavailable bunker data; bunker-only break-even available.,False,False,DECISION SUPPORT
2025-07-01,2025-07-01,1,SHORT-TERM,1298.431672529056,3.321090828895468,10.0,10.0,0,0,1,0,8.228039951053285,8.228039951053285,625331.0362800496,WAIT / AVOID EARLY COMMITMENT,MEDIUM,forecast BPI trends upward; 1 high-bunker-risk month(s); bunker-only break-even available.,False,False,DECISION SUPPORT
2025-07-01,2025-09-01,3,SHORT-TERM / NEAR-TERM,1301.9966869260043,1.1641440341844298,30.0,10.0,0,1,2,0,7.989265579198789,8.228039951053285,1821552.5520573237,WAIT / AVOID EARLY COMMITMENT,MEDIUM,forecast BPI trends upward; 2 high-bunker-risk month(s); bunker-only break-even available.,False,False,DECISION SUPPORT
2025-07-01,2025-12-01,6,MEDIUM-TERM,1263.0716489495462,-1.2047810893055473,51.666666666666664,10.0,2,2,2,1,7.622916503056672,8.228039951053285,2896708.2711615353,DATA-CONSTRAINED,LOW,forecast BPI trends downward; 2 high-bunker-risk month(s); 1 month(s) with unavailable bunker data; bunker-only break-even available.,False,False,DECISION SUPPORT
2025-08-01,2025-08-01,1,SHORT-TERM,1306.943177418323,0.6555219708010318,30.0,30.0,0,1,1,0,7.95386439737841,7.95386439737841,604493.6942007592,WAIT / AVOID EARLY COMMITMENT,MEDIUM,forecast BPI trends upward; 1 high-bunker-risk month(s); bunker-only break-even available.,False,False,DECISION SUPPORT
2025-08-01,2025-10-01,3,SHORT-TERM / NEAR-TERM,1297.6380788855329,-0.3339668706228372,36.666666666666664,30.0,0,2,1,1,7.86987839327154,7.95386439737841,1196221.515777274,DATA-CONSTRAINED,LOW,forecast BPI trends downward; 1 high-bunker-risk month(s); 1 month(s) with unavailable bunker data; bunker-only break-even available.,False,False,DECISION SUPPORT
2025-08-01,2026-01-01,6,MEDIUM-TERM,1237.4870751749559,-2.053321062149292,60.833333333333336,30.0,3,2,1,1,7.393685598446696,7.95386439737841,2809600.5274097444,DATA-CONSTRAINED,LOW,forecast BPI trends downward; 1 high-bunker-risk month(s); 1 month(s) with unavailable bunker data; bunker-only break-even available.,False,False,DECISION SUPPORT
2025-09-01,2025-09-01,1,SHORT-TERM,1300.6152108306335,-0.4841806971432105,50.0,50.0,0,0,0,0,7.785892389164671,7.785892389164671,591727.821576515,MONITOR,LOW,forecast BPI trends downward; bunker-only break-even available.,False,False,DECISION SUPPORT
2025-09-01,2025-11-01,3,SHORT-TERM / NEAR-TERM,1269.1662434490183,-2.207740253499942,56.666666666666664,30.0,1,1,0,1,7.5117271071224145,7.785892389164671,1141782.520282607,DATA-CONSTRAINED,LOW,forecast BPI trends downward; 1 month(s) with unavailable bunker data; bunker-only break-even available.,False,False,DECISION SUPPORT
2025-09-01,2026-02-01,6,MEDIUM-TERM,1202.2187599855217,-2.8844702914393765,70.83333333333333,30.0,4,1,0,1,7.345969499488933,7.785892389164671,2791468.4098057947,DATA-CONSTRAINED,LOW,forecast BPI trends downward; 1 month(s) with unavailable bunker data; bunker-only break-even available.,False,False,DECISION SUPPORT
2025-10-01,2025-10-01,1,SHORT-TERM,1285.3558484076418,-1.173241885526333,30.0,30.0,0,1,0,1,,,,DATA-CONSTRAINED,LOW,forecast BPI trends downward; 1 month(s) with unavailable bunker data.,False,False,DECISION SUPPORT
2025-10-01,2025-12-01,3,SHORT-TERM / NEAR-TERM,1224.1466109730882,-3.573706212795525,73.33333333333333,30.0,2,1,0,1,7.073392888843497,7.237561825080159,1075155.7191042115,DATA-CONSTRAINED,LOW,forecast BPI trends downward; 1 month(s) with unavailable bunker data; bunker-only break-even available.,False,False,DECISION SUPPORT
2025-10-01,2026-03-01,6,MEDIUM-TERM,1164.8503658542743,-3.0917899579380315,65.0,15.0,4,1,1,1,8.501326331512672,13.562676549283369,3230504.005974815,DATA-CONSTRAINED,LOW,forecast BPI trends downward; 1 high-bunker-risk month(s); 1 month(s) with unavailable bunker data; bunker-only break-even available.,False,False,DECISION SUPPORT
2025-11-01,2025-11-01,1,SHORT-TERM,1221.5276711087802,-4.965798177830283,90.0,90.0,1,0,0,0,7.237561825080159,7.237561825080159,550054.6987060921,CONSIDER CONTRACTING,MEDIUM,forecast BPI trends downward; bunker-only break-even available.,False,False,DECISION SUPPORT
2025-11-01,2026-01-01,3,SHORT-TERM / NEAR-TERM,1177.3360714643788,-3.7726752536757466,85.0,65.0,3,0,0,0,7.076223735230133,7.237561825080159,1613379.0116324704,CONSIDER CONTRACTING,MEDIUM,forecast BPI trends downward; bunker-only break-even available.,False,False,DECISION SUPPORT
2025-12-01,2025-12-01,1,SHORT-TERM,1165.5563134028423,-4.582078575029957,100.0,100.0,1,0,0,0,6.909223952606835,6.909223952606835,525101.0203981195,CONSIDER CONTRACTING,MEDIUM,forecast BPI trends downward; bunker-only break-even available.,False,False,DECISION SUPPORT
2025-12-01,2026-02-01,3,SHORT-TERM / NEAR-TERM,1135.271276522025,-3.5612003293788113,85.0,65.0,3,0,0,0,7.235464427733277,7.715283902589592,1649685.8895231872,CONSIDER CONTRACTING,MEDIUM,forecast BPI trends downward; bunker-only break-even available.,False,False,DECISION SUPPORT
2026-01-01,2026-01-01,1,SHORT-TERM,1144.924229881514,-1.770149008166999,65.0,65.0,1,0,0,0,7.081885428003406,7.081885428003406,538223.2925282589,MONITOR / NEGOTIATE,MEDIUM,forecast BPI trends downward; bunker-only break-even available.,False,False,DECISION SUPPORT
2026-01-01,2026-03-01,3,SHORT-TERM / NEAR-TERM,1105.5541207354606,-2.6098737030805377,56.666666666666664,15.0,2,0,1,0,9.453281959958789,13.562676549283369,2155348.2868706034,MONITOR / NEGOTIATE,MEDIUM,forecast BPI trends downward; 1 high-bunker-risk month(s); bunker-only break-even available.,False,False,DECISION SUPPORT
2026-02-01,2026-02-01,1,SHORT-TERM,1095.333286281718,-4.331373404939476,90.0,90.0,1,0,0,0,7.715283902589592,7.715283902589592,586361.576596809,CONSIDER CONTRACTING,MEDIUM,forecast BPI trends downward; bunker-only break-even available.,False,False,DECISION SUPPORT
2026-03-01,2026-03-01,1,SHORT-TERM,1076.4048460431495,-1.7280986961351386,15.0,15.0,0,0,1,0,13.562676549283369,13.562676549283369,1030763.4177455358,WAIT / AVOID EARLY COMMITMENT,MEDIUM,forecast BPI trends downward; 1 high-bunker-risk month(s); bunker-only break-even available.,False,False,DECISION SUPPORT
