Month,Panamax_BPI_ML_Forecast,BPI_MoM_Change_pct,Panamax_Market_Signal,VLSFO_USD_per_tonne,Bunker_Risk,BreakEven_Freight_USD_per_mt,Recommendation,Decision_Confidence,Vessel_Type,Total_Voyage_Days,Total_Fuel_tonnes,Bunker_Cost_USD,Scenario_ID,Origin,Destination,Cargo_Type,Cargo_tonnes,Commercial_Rate_Available,Final_Profit_Available,Strategy_Score,Strategy_Class
2025-04-01,1199.2209055548897,,BASELINE / NO PRIOR MONTH,530.9090909090909,MEDIUM,7.901836243702691,MONITOR,LOW,Panamax,36.82846671075838,1131.1532705026457,600539.5545214046,GLADSTONE_DHAMRA_COAL,"Gladstone, Australia","Dhamra, India",Coal,80000,False,False,50.0,NEUTRAL / MONITOR
2025-05-01,1221.6412370965445,1.8695747745725688,STABLE / NEUTRAL,529.4318181818181,MEDIUM,7.8798491137437585,MONITOR,LOW,Panamax,36.82846671075838,1131.1532705026457,598868.5326445256,GLADSTONE_DHAMRA_COAL,"Gladstone, Australia","Dhamra, India",Coal,80000,False,False,50.0,NEUTRAL / MONITOR
2025-06-01,1256.695667953525,2.869453796459398,STABLE / NEUTRAL,554.6764705882352,HIGH,8.255580312851933,CAUTION,MEDIUM,Panamax,36.82846671075838,1131.1532705026457,627424.1037767469,GLADSTONE_DHAMRA_COAL,"Gladstone, Australia","Dhamra, India",Coal,80000,False,False,30.0,CAUTION
2025-07-01,1298.431672529056,3.321090828895468,RISING FREIGHT / WAIT,552.8260869565217,HIGH,8.228039951053285,WAIT / MONITOR,MEDIUM,Panamax,36.82846671075838,1131.1532705026457,625331.0362800496,GLADSTONE_DHAMRA_COAL,"Gladstone, Australia","Dhamra, India",Coal,80000,False,False,10.0,UNFAVORABLE
2025-08-01,1306.943177418323,0.6555219708010318,STABLE / NEUTRAL,534.4047619047619,HIGH,7.95386439737841,CAUTION,MEDIUM,Panamax,36.82846671075838,1131.1532705026457,604493.6942007592,GLADSTONE_DHAMRA_COAL,"Gladstone, Australia","Dhamra, India",Coal,80000,False,False,30.0,CAUTION
2025-09-01,1300.6152108306335,-0.4841806971432105,STABLE / NEUTRAL,523.1190476190476,MEDIUM,7.785892389164671,MONITOR,LOW,Panamax,36.82846671075838,1131.1532705026457,591727.821576515,GLADSTONE_DHAMRA_COAL,"Gladstone, Australia","Dhamra, India",Coal,80000,False,False,50.0,NEUTRAL / MONITOR
2025-10-01,1285.3558484076418,-1.173241885526333,STABLE / NEUTRAL,,UNKNOWN,,DATA INSUFFICIENT,LOW,Panamax,36.82846671075838,1131.1532705026457,,GLADSTONE_DHAMRA_COAL,"Gladstone, Australia","Dhamra, India",Coal,80000,False,False,30.0,CAUTION
2025-11-01,1221.5276711087802,-4.965798177830283,FAVORABLE ENTRY SIGNAL,486.27777777777777,LOW,7.237561825080159,CONSIDER ENTERING,MEDIUM,Panamax,36.82846671075838,1131.1532705026457,550054.6987060921,GLADSTONE_DHAMRA_COAL,"Gladstone, Australia","Dhamra, India",Coal,80000,False,False,90.0,STRONG ENTRY ENVIRONMENT
2025-12-01,1165.5563134028423,-4.582078575029957,FAVORABLE ENTRY SIGNAL,464.2173913043478,LOW,6.909223952606835,CONSIDER ENTERING,MEDIUM,Panamax,36.82846671075838,1131.1532705026457,525101.0203981195,GLADSTONE_DHAMRA_COAL,"Gladstone, Australia","Dhamra, India",Coal,80000,False,False,100.0,STRONG ENTRY ENVIRONMENT
2026-01-01,1144.924229881514,-1.770149008166999,STABLE / NEUTRAL,475.8181818181818,LOW,7.081885428003406,MONITOR,LOW,Panamax,36.82846671075838,1131.1532705026457,538223.2925282589,GLADSTONE_DHAMRA_COAL,"Gladstone, Australia","Dhamra, India",Coal,80000,False,False,65.0,FAVORABLE ENTRY ENVIRONMENT
2026-02-01,1095.333286281718,-4.331373404939476,FAVORABLE ENTRY SIGNAL,518.375,LOW,7.715283902589592,CONSIDER ENTERING,MEDIUM,Panamax,36.82846671075838,1131.1532705026457,586361.576596809,GLADSTONE_DHAMRA_COAL,"Gladstone, Australia","Dhamra, India",Coal,80000,False,False,90.0,STRONG ENTRY ENVIRONMENT
2026-03-01,1076.4048460431495,-1.7280986961351386,STABLE / NEUTRAL,911.25,HIGH,13.562676549283369,CAUTION,MEDIUM,Panamax,36.82846671075838,1131.1532705026457,1030763.4177455358,GLADSTONE_DHAMRA_COAL,"Gladstone, Australia","Dhamra, India",Coal,80000,False,False,15.0,UNFAVORABLE
