Month,Vessel_Type,Base_Bunker_USD_per_mt,Base_BreakEven_USD_per_mt,Minimum_Stressed_BreakEven_USD_per_mt,Maximum_Stressed_BreakEven_USD_per_mt,BreakEven_Bunker_plus20,BreakEven_Distance_plus20,BreakEven_Fuel_plus20,Dominant_Risk_Driver,Risk_Class,Risk_Status,Interpretation
2025-04-01,Panamax,530.9090909090909,7.901836243702691,4.045740156775779,13.654373029118249,9.48220349244323,9.482203492443231,9.482203492443231,Distance +20%,MODERATE,CALCULABLE,Risk primarily driven by Distance +20% under the defined single-factor +20% stress comparison.
2025-05-01,Panamax,529.4318181818181,7.8798491137437585,4.034482746236805,13.616379268549213,9.455818936492511,9.455818936492511,9.455818936492511,Bunker +20%,MODERATE,CALCULABLE,Risk primarily driven by Bunker +20% under the defined single-factor +20% stress comparison.
2025-06-01,Panamax,554.6764705882352,8.255580312851933,4.22685712018019,14.265642780608136,9.906696375422317,9.90669637542232,9.90669637542232,Distance +20%,MODERATE,CALCULABLE,Risk primarily driven by Distance +20% under the defined single-factor +20% stress comparison.
2025-07-01,Panamax,552.8260869565217,8.228039951053285,4.212756454939282,14.218053035420075,9.873647941263942,9.873647941263942,9.873647941263942,Bunker +20%,MODERATE,CALCULABLE,Risk primarily driven by Bunker +20% under the defined single-factor +20% stress comparison.
2025-08-01,Panamax,534.4047619047619,7.9538643973784104,4.0723785714577465,13.744277678669892,9.544637276854091,9.544637276854091,9.544637276854091,Bunker +20%,MODERATE,CALCULABLE,Risk primarily driven by Bunker +20% under the defined single-factor +20% stress comparison.
2025-09-01,Panamax,523.1190476190476,7.785892389164671,3.9863769032523115,13.45402204847655,9.343070866997605,9.343070866997603,9.343070866997603,Bunker +20%,MODERATE,CALCULABLE,Risk primarily driven by Bunker +20% under the defined single-factor +20% stress comparison.
2025-10-01,Panamax,,,,,,,,UNAVAILABLE,UNKNOWN,DATA GAP,Bunker observation unavailable; full sensitivity not calculated.
2025-11-01,Panamax,486.27777777777777,7.237561825080159,3.7056316544410417,12.506506833738513,8.68507419009619,8.685074190096191,8.685074190096191,Distance +20%,MODERATE,CALCULABLE,Risk primarily driven by Distance +20% under the defined single-factor +20% stress comparison.
2025-12-01,Panamax,464.2173913043478,6.909223952606835,3.5375226637347,11.93913899010461,8.2910687431282,8.291068743128202,8.291068743128202,Distance +20%,LOW,CALCULABLE,Risk primarily driven by Distance +20% under the defined single-factor +20% stress comparison.
2026-01-01,Panamax,475.8181818181818,7.081885428003406,3.6259253391377446,12.237498019589884,8.498262513604088,8.498262513604088,8.498262513604088,Bunker +20%,MODERATE,CALCULABLE,Risk primarily driven by Bunker +20% under the defined single-factor +20% stress comparison.
2026-02-01,Panamax,518.375,7.715283902589592,3.9502253581258717,13.332010583674812,9.258340683107509,9.258340683107509,9.258340683107509,Bunker +20%,MODERATE,CALCULABLE,Risk primarily driven by Bunker +20% under the defined single-factor +20% stress comparison.
2026-03-01,Panamax,911.25,13.562676549283367,6.944090393233085,23.436305077161656,16.27521185914004,16.27521185914004,16.27521185914004,Bunker +20%,VERY HIGH,CALCULABLE,Risk primarily driven by Bunker +20% under the defined single-factor +20% stress comparison.
