Month,Vessel_Type,Panamax_BPI_ML_Forecast,Panamax_Market_Signal,VLSFO_USD_per_tonne,Bunker_Risk,BreakEven_Freight_USD_per_mt,Strategy_Score,Strategy_Class,Base_BreakEven_USD_per_mt,Maximum_Stressed_BreakEven_USD_per_mt,Dominant_Risk_Driver,Risk_Class,Final_Month_Class,Recommendation_Status,Data_Quality,Final_Profit_Available
2025-04-01,Panamax,1199.2209055548897,BASELINE / NO PRIOR MONTH,530.9090909090909,MEDIUM,7.901836243702691,50.0,NEUTRAL / MONITOR,7.901836243702691,13.654373029118249,Distance +20%,MODERATE,MONITOR,MONITOR,MIXED: PROJECT + EXTERNAL + SCENARIO,False
2025-05-01,Panamax,1221.6412370965445,STABLE / NEUTRAL,529.4318181818181,MEDIUM,7.8798491137437585,50.0,NEUTRAL / MONITOR,7.8798491137437585,13.616379268549212,Bunker +20%,MODERATE,MONITOR,MONITOR,MIXED: PROJECT + EXTERNAL + SCENARIO,False
2025-06-01,Panamax,1256.695667953525,STABLE / NEUTRAL,554.6764705882352,HIGH,8.255580312851933,30.0,CAUTION,8.255580312851933,14.265642780608136,Distance +20%,MODERATE,HIGH CAUTION,HIGH CAUTION,MIXED: PROJECT + EXTERNAL + SCENARIO,False
2025-07-01,Panamax,1298.431672529056,RISING FREIGHT / WAIT,552.8260869565217,HIGH,8.228039951053285,10.0,UNFAVORABLE,8.228039951053285,14.218053035420075,Bunker +20%,MODERATE,HIGH CAUTION,HIGH CAUTION,MIXED: PROJECT + EXTERNAL + SCENARIO,False
2025-08-01,Panamax,1306.943177418323,STABLE / NEUTRAL,534.4047619047619,HIGH,7.95386439737841,30.0,CAUTION,7.95386439737841,13.744277678669892,Bunker +20%,MODERATE,HIGH CAUTION,HIGH CAUTION,MIXED: PROJECT + EXTERNAL + SCENARIO,False
2025-09-01,Panamax,1300.6152108306335,STABLE / NEUTRAL,523.1190476190476,MEDIUM,7.785892389164671,50.0,NEUTRAL / MONITOR,7.785892389164671,13.45402204847655,Bunker +20%,MODERATE,MONITOR,MONITOR,MIXED: PROJECT + EXTERNAL + SCENARIO,False
2025-10-01,Panamax,1285.3558484076418,STABLE / NEUTRAL,,UNKNOWN,,30.0,CAUTION,,,UNAVAILABLE,UNKNOWN,DATA INSUFFICIENT,DATA INSUFFICIENT,MIXED: PROJECT + EXTERNAL + SCENARIO,False
2025-11-01,Panamax,1221.5276711087802,FAVORABLE ENTRY SIGNAL,486.27777777777777,LOW,7.237561825080159,90.0,STRONG ENTRY ENVIRONMENT,7.237561825080159,12.506506833738513,Distance +20%,MODERATE,FAVORABLE CANDIDATE,FAVORABLE CANDIDATE,MIXED: PROJECT + EXTERNAL + SCENARIO,False
2025-12-01,Panamax,1165.5563134028423,FAVORABLE ENTRY SIGNAL,464.2173913043478,LOW,6.909223952606835,100.0,STRONG ENTRY ENVIRONMENT,6.909223952606835,11.93913899010461,Distance +20%,LOW,STRONGEST CANDIDATE,STRONGEST CANDIDATE,MIXED: PROJECT + EXTERNAL + SCENARIO,False
2026-01-01,Panamax,1144.924229881514,STABLE / NEUTRAL,475.8181818181818,LOW,7.081885428003406,65.0,FAVORABLE ENTRY ENVIRONMENT,7.081885428003406,12.237498019589884,Bunker +20%,MODERATE,MONITOR,MONITOR,MIXED: PROJECT + EXTERNAL + SCENARIO,False
2026-02-01,Panamax,1095.333286281718,FAVORABLE ENTRY SIGNAL,518.375,LOW,7.715283902589592,90.0,STRONG ENTRY ENVIRONMENT,7.715283902589592,13.332010583674812,Bunker +20%,MODERATE,FAVORABLE CANDIDATE,FAVORABLE CANDIDATE,MIXED: PROJECT + EXTERNAL + SCENARIO,False
2026-03-01,Panamax,1076.4048460431495,STABLE / NEUTRAL,911.25,HIGH,13.562676549283369,15.0,UNFAVORABLE,13.562676549283369,23.436305077161656,Bunker +20%,VERY HIGH,HIGH CAUTION,HIGH CAUTION,MIXED: PROJECT + EXTERNAL + SCENARIO,False
